season,set,n,mae,spearman
2019,base,506,3.382416758549045,0.11165581968275376
2019,+composite,506,3.3835742332346577,0.1243720644199881
2019,+raw pair,506,3.340700197742711,0.13024451607699677
2019,+all rz,506,3.3709483394162936,0.12160128200703865
2020,base,513,3.5075654864120533,0.14675454108593827
2020,+composite,513,3.494109842333478,0.14578219434937395
2020,+raw pair,513,3.573902012867897,0.10554208088973276
2020,+all rz,513,3.520287041791712,0.12397068914507904
2022,base,540,3.537908881932374,0.034523065498355016
2022,+composite,540,3.5756362942344535,0.006769510965787793
2022,+raw pair,540,3.527745358243358,0.04104426516094513
2022,+all rz,540,3.513524456052874,0.04514069482279141
2023,base,537,3.6899087939031574,0.046439469646090296
2023,+composite,537,3.653779281684917,0.075630003413049
2023,+raw pair,537,3.6742360117164288,0.07083021101098459
2023,+all rz,537,3.6033195840722367,0.08975969967928776
2024,base,542,3.842259957418019,0.044107008242653324
2024,+composite,542,3.8197998843775345,0.06284134113490147
2024,+raw pair,542,3.817956463770432,0.05971830395291627
2024,+all rz,542,3.7395498132064167,0.110445336723274
2025,base,536,3.730843149515311,0.11412922695826538
2025,+composite,536,3.705274113677857,0.13017811067369753
2025,+raw pair,536,3.7032463966142735,0.1252974713408494
2025,+all rz,536,3.6622413808365026,0.150654917722695
