,gain,perm_mae_delta
wind,0.019368278068736682,0.08530577330132778
t_fantasy_points_l8,0.013531528839400732,0.06764582905018499
k_fantasy_points_l4,0.014220088049734082,0.06516376543324558
k_fg_att_career,0.015366001144916812,0.06500560370415256
opp_d_games_prior,0.014090764223541268,0.04708863358614437
close_high_total,0.02016118783371907,0.04569135286404365
prev_fg_share,0.017098303672193765,0.04190002796672006
k_fantasy_points_l8,0.01614356366226978,0.037706801961171224
t_fourth_mean_togo_career,0.019591095775602925,0.03449834150724666
prev_go_rate,0.015250924688308352,0.031246123416685645
t_fourth_in_range_l8,0.016642106617993493,0.030728638711259748
t_fg_share_career,0.017393272850447575,0.02997634741887172
t_fantasy_points_l4,0.010191935881010703,0.028116498031851744
k_fg_made_l4,0.0063962772131123434,0.027934888652121924
t_team_score_career,0.0165911775667573,0.025004190505269096
k_fg_long_l8,0.01850361807311484,0.023635622769069498
t_go_rate_l8,0.009759421153070946,0.023508846314305477
t_fourth_in_range_l4,0.009171304701188899,0.022324068398514328
t_fg_att_l4,0.004964749962872596,0.022010875962409936
k_fg_long_l4,0.02199663722052747,0.02072077404926098
closeness,0.005197557265899862,0.02046760257825415
opp_d_team_score_l4,0.018319480781236443,0.020163353858494437
t_fourth_fg_l8,0.01407744760125936,0.01876527502027492
t_pat_att_l8,0.009286368201761874,0.017090732194226944
t_fg_share_l8,0.014406797026494203,0.0169386466671718
opp_d_team_score_career,0.026706969897381666,0.01630552869862103
t_fg_att_l8,0.007108991543276086,0.01532408176557425
spread_line,0.012031326936280829,0.015254999873503917
k_fg_pct_l8,0.018234423721070526,0.014158880283951403
t_pat_att_career,0.015492836146381793,0.01369821896692649
k_fg_long_career,0.015604373918923614,0.01202769146762992
k_fg_att_l8,0.008603400618619746,0.011764190606416359
k_fg_att_l4,0.005296805739200496,0.009629215588688211
t_fourth_fg_l4,0.0077049773753705645,0.008240579767676203
team_spread,0.016425859911820866,0.008074844316645314
k_pat_att_l4,0.0070092616199593895,0.007537892783507694
t_fantasy_points_career,0.01781856671127269,0.0075193113669493
t_fourth_go_l4,0.004146050182209776,0.006561053786997784
t_go_rate_career,0.013298919539016494,0.006500435381856606
t_fourth_go_l8,0.00881566858763171,0.006403434255738994
opp_d_fg_att_l4,0.006912893232506111,0.006030241781982593
wind_outdoor,0.003783144284478995,0.0045573822929918075
k_games_prior,0.01689357205284992,0.004020018361349287
t_pat_att_l4,0.005500659642524043,0.0029993879558792625
t_fourth_go_career,0.017445400468339246,0.002093005437870188
t_go_rate_l4,0.00789827611247647,0.0013071841516926863
is_home,0.0021214860032644145,0.000862055604787404
is_dome,0.0006541657300212026,0.0008334429653735764
t_fourth_fg_career,0.014996756733258275,0.0005520655425089949
t_fourth_mean_togo_l8,0.02615059761171708,0.00034933492779898323
t_fg_att_career,0.014510193703768373,-0.00014941373023007464
rest,0.0047463092755927324,-0.000572660418704185
div_game,0.0020467923654163196,-0.004253379619796505
k_fg_made_l8,0.007444121319490872,-0.0057485257976195745
prev_fourth_n,0.012712976928139528,-0.006247570025231264
t_games_prior,0.013220294349476037,-0.008813793811889514
total_line,0.01292557658944298,-0.011196147657293843
opp_d_team_score_l8,0.018279478155129553,-0.012067994201883047
implied_total,0.024224975595373236,-0.01373117167534459
k_pat_att_l8,0.011533460247330546,-0.014061777791055486
k_fantasy_points_career,0.01693143389113869,-0.01625309488308795
k_fg_pct_career,0.021362732501089523,-0.016757441682780393
opp_d_fg_att_l8,0.014565750805502048,-0.017036437756000878
t_fourth_in_range_career,0.016131205162698548,-0.023009296785942768
k_fg_made_career,0.015720862205132465,-0.024688185533901973
t_fg_share_l4,0.009050137474706342,-0.02634268947634122
k_pat_att_career,0.021075210294395602,-0.03141534896751206
opp_d_fg_att_career,0.027230444852811567,-0.034301646230199045
temp,0.023438794758480822,-0.036178256226717845
t_team_score_l4,0.013440688528707091,-0.037358608637419445
t_fourth_mean_togo_l4,0.025339989364249214,-0.038198963673331
opp_implied_total,0.015912212521481714,-0.0428247850327923
t_team_score_l8,0.013781086715422814,-0.054866839132688174
