season,model,n,mae,rmse,spearman,top5_hit
2018,naive_league_mean,502,3.2915185866146994,4.142342855434784,,0.15294117647058825
2018,naive_kicker_career,502,3.4253334985233046,4.27552437529525,0.0772499237988674,0.27058823529411763
2018,naive_kicker_last8,502,3.523139895978954,4.381255761978083,0.07081328160365716,0.23529411764705882
2018,old_model_shape,502,3.3133693046671286,4.142926832204516,0.04387996393183382,0.2235294117647059
2018,ridge,502,3.381126977655507,4.238433621207974,0.09034105351089004,0.25882352941176473
2018,gbm,502,3.380870120685969,4.287600991970678,0.08780856915845675,0.17647058823529413
2018,gbm_tweedie,502,3.3381321047032975,4.254239892223153,0.11545795682587406,0.23529411764705882
2019,naive_league_mean,506,3.3292982967380054,4.084270519489852,,0.1411764705882353
2019,naive_kicker_career,506,3.3867258235935296,4.190315707439592,0.09357681118055178,0.25882352941176473
2019,naive_kicker_last8,506,3.4735579446118785,4.362679092467902,0.048894925111107636,0.21176470588235294
2019,old_model_shape,506,3.3137344676933487,4.0743984715767,0.07307274200313435,0.23529411764705882
2019,ridge,506,3.3093517431924164,4.068978245011431,0.14075305266483354,0.2
2019,gbm,506,3.4033643261035085,4.190133884904003,0.07417057766397639,0.18823529411764706
2019,gbm_tweedie,506,3.3648946390401586,4.205438621285244,0.09677622346705242,0.18823529411764706
2020,naive_league_mean,513,3.4956782538062607,4.38158525243427,,0.17647058823529413
2020,naive_kicker_career,513,3.5349339027728712,4.444546623341387,0.074314136400198,0.16470588235294117
2020,naive_kicker_last8,513,3.65315742032829,4.5281884759178865,0.0872335512182048,0.2
2020,old_model_shape,513,3.499503199382125,4.360410187928032,0.0817703370792554,0.2235294117647059
2020,ridge,513,3.43840259412035,4.325895363048506,0.2020077077618973,0.15294117647058825
2020,gbm,513,3.50995736568437,4.445105406557006,0.1362885365725871,0.1411764705882353
2020,gbm_tweedie,513,3.5510065705222833,4.517551290404614,0.12502719840846566,0.2
2022,naive_league_mean,540,3.4147319688109166,4.253358944886424,,0.2
2022,naive_kicker_career,540,3.4892959868693274,4.362767003092295,0.023494499024298166,0.13333333333333333
2022,naive_kicker_last8,540,3.589269934094496,4.522822041685374,0.03526604996874795,0.14444444444444443
2022,old_model_shape,540,3.410485012096773,4.2594047251161395,0.05503420410108314,0.12222222222222222
2022,ridge,540,3.491684530844198,4.345987200926012,0.05146974837924503,0.18888888888888888
2022,gbm,540,3.5220830039841324,4.464225673357737,0.039044287446545624,0.1
2022,gbm_tweedie,540,3.57180249065917,4.557022197162484,0.03360218551225402,0.12222222222222222
2023,naive_league_mean,537,3.5227141266918425,4.480404096049053,,0.16666666666666666
2023,naive_kicker_career,537,3.583513584209032,4.502232469243816,0.08373325912060205,0.23333333333333334
2023,naive_kicker_last8,537,3.730726157903837,4.721101804723453,0.032122987541264816,0.18888888888888888
2023,old_model_shape,537,3.5171059697687945,4.473457909513224,0.015711633845742843,0.18888888888888888
2023,ridge,537,3.4943299382386757,4.440077102689629,0.14649980026065323,0.2222222222222222
2023,gbm,537,3.7504605039698693,4.650139309729945,0.023723376215444944,0.14444444444444443
2023,gbm_tweedie,537,3.6593743749808993,4.611970595476702,0.043256675147319415,0.17777777777777778
2024,naive_league_mean,542,3.740184923102571,4.764584695436806,,0.1
2024,naive_kicker_career,542,3.791103010131522,4.804686861055144,0.07640682083934583,0.2
2024,naive_kicker_last8,542,3.8748709477274863,4.906623355991605,0.11465774175825388,0.2111111111111111
2024,old_model_shape,542,3.72283579179327,4.734215056551679,0.13509043135367463,0.23333333333333334
2024,ridge,542,3.7098998798668585,4.7521058489640255,0.1250182890438415,0.17777777777777778
2024,gbm,542,3.8215722989316383,4.928207048564224,0.06307022084323678,0.1111111111111111
2024,gbm_tweedie,542,3.9326797451225137,5.072943214232308,0.029233528555877224,0.14444444444444443
2025,naive_league_mean,536,3.686061402581426,4.653774661455242,,0.12222222222222222
2025,naive_kicker_career,536,3.7400394378227992,4.682172975697479,0.04889088797491678,0.2
2025,naive_kicker_last8,536,3.8423436927221126,4.814822925485236,0.06376521382271731,0.2111111111111111
2025,old_model_shape,536,3.683697027587372,4.628092284298741,0.05897148988312044,0.24444444444444444
2025,ridge,536,3.5968344079684407,4.521561027979695,0.2021498395282837,0.26666666666666666
2025,gbm,536,3.690016261525863,4.627791243398942,0.1448299874869259,0.25555555555555554
2025,gbm_tweedie,536,3.6685632951338816,4.614931244662333,0.18234113225497042,0.2222222222222222
