player_id,player_display_name,team,opponent,is_home,implied_total,total_line,team_spread,is_indoor_certain,game_id,exp_points,median_points,floor_p20,ceiling_p90,p_ge_8,p_ge_10,p_ge_12,p_ge_15,exp_fg_att,exp_pat_att,last_seen_week,stale_weeks,season,week,rank_points,rank_ceiling
00-0032726,K.Fairbairn,HOU,IND,0,23.0,43.5,2.5,0,2026_03_HOU_IND,9.546998229429727,9.0,5.0,15.0,0.634,0.46675,0.28825,0.1255,2.204512096012528,2.505096077080215,2,1,2026,3,1,3
00-0033303,H.Butker,KC,MIA,0,28.5,45.5,11.5,0,2026_03_KC_MIA,9.29228573132317,9.0,6.0,16.0,0.6535,0.49475,0.3365,0.14875,2.226513757581505,2.8214384296455988,2,1,2026,3,2,2
00-0031492,J.Myers,SEA,WAS,0,23.75,40.5,7.0,0,2026_03_SEA_WAS,9.0564663520646,10.0,6.0,16.0,0.6695,0.508,0.33825,0.14975,2.265498638812652,2.5972681066970202,2,1,2026,3,3,1
00-0039172,J.Bates,DET,NYJ,1,27.5,48.5,6.5,0,2026_03_NYJ_DET,9.050310134826464,8.0,5.0,14.0,0.55675,0.39575,0.23975,0.09625,1.7631878798083707,3.2716811084954647,2,1,2026,3,4,14
00-0040074,T.Loop,BAL,DAL,0,27.75,52.5,3.0,0,2026_03_BAL_DAL,9.047386973803397,9.0,5.0,15.0,0.60975,0.43975,0.27725,0.11375,1.9207424925672758,3.0468367097968145,2,1,2026,3,5,5
00-0039576,S.Shrader,IND,HOU,1,20.5,43.5,-2.5,0,2026_03_HOU_IND,8.898886799679971,8.0,5.0,15.0,0.5755,0.4075,0.24525,0.10025,2.1405763954013537,1.9960924857510383,2,1,2026,3,6,11
00-0034794,J.Sanders,NYJ,DET,0,21.0,48.5,-6.5,0,2026_03_NYJ_DET,8.885134603460184,8.0,4.0,14.0,0.54925,0.3655,0.22075,0.08525,2.0019424330248556,2.007682563128403,2,1,2026,3,7,18
00-0040899,T.Smack,GB,ATL,1,25.25,44.5,6.0,0,2026_03_ATL_GB,8.849108028993214,9.0,5.0,15.0,0.59925,0.43675,0.26725,0.10525,1.9661995182931689,2.717764157102205,2,1,2026,3,8,9
00-0039404,W.Reichard,MIN,TB,0,22.0,42.5,1.5,0,2026_03_MIN_TB,8.81086149186691,9.0,5.0,15.0,0.60075,0.4245,0.2715,0.10975,2.1405575178173684,2.1903101882621723,2,1,2026,3,9,8
00-0037692,B.Aubrey,DAL,BAL,1,24.75,52.5,-3.0,0,2026_03_BAL_DAL,8.797591042546506,9.0,5.0,14.0,0.57975,0.4155,0.2475,0.0975,1.9230262479573859,2.7215581459518083,2,1,2026,3,10,13
00-0036854,E.McPherson,CIN,PIT,0,23.0,42.5,3.5,0,2026_03_CIN_PIT,8.781862589366117,9.0,5.0,15.0,0.59675,0.43,0.26075,0.10025,2.0609090577589417,2.4642901815406497,2,1,2026,3,11,11
00-0034161,D.Carlson,NO,LV,1,23.25,43.5,3.0,0,2026_03_LV_NO,8.660800362676374,9.0,5.0,15.0,0.616,0.445,0.27775,0.11025,2.1334290958557123,2.340807026877385,2,1,2026,3,12,7
00-0034173,E.Pineiro,SF,ARI,1,28.0,47.5,8.5,0,2026_03_ARI_SF,8.501494110153327,9.0,5.0,15.0,0.636,0.4635,0.288,0.113,1.9337623804329305,3.176024847134424,2,1,2026,3,13,6
00-0036162,T.Bass,BUF,LAC,1,28.75,50.5,7.0,0,2026_03_LAC_BUF,8.383675112548984,8.0,5.0,14.0,0.55525,0.38875,0.22275,0.08125,1.6873898249116714,3.2510575742190535,2,1,2026,3,14,19
00-0035269,M.Gay,LV,NO,0,20.25,43.5,-3.0,0,2026_03_LV_NO,8.363001967929835,8.0,4.0,14.0,0.5405,0.3695,0.21825,0.0805,1.986881289289792,1.9906633694620355,2,1,2026,3,15,21
